"Brasil e Grande Região","Sexo","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Brasil","Total","2836","2924","3011","2913","3006","2972","3052","3038","3001","2900","2889","3092"
"Brasil","Homens","3176","3283","3365","3239","3311","3285","3357","3334","3285","3162","3170","3392"
"Brasil","Mulheres","2346","2413","2508","2454","2580","2540","2637","2636","2598","2524","2505","2688"
"Norte","Total","2270","2242","2280","2220","2142","2173","2320","2164","2204","2140","2211","2454"
"Norte","Homens","2399","2371","2447","2341","2234","2279","2452","2220","2239","2246","2312","2568"
"Norte","Mulheres","2050","2020","1986","2012","1987","1998","2105","2072","2145","1956","2047","2275"
"Nordeste","Total","1903","1986","2036","1991","2014","2061","2024","2054","2149","1965","1935","2025"
"Nordeste","Homens","2029","2122","2181","2120","2118","2205","2124","2159","2265","2062","2046","2116"
"Nordeste","Mulheres","1708","1776","1814","1797","1857","1847","1880","1901","1974","1810","1771","1894"
"Sudeste","Total","3223","3340","3475","3356","3533","3385","3529","3513","3407","3345","3290","3543"
"Sudeste","Homens","3694","3840","3969","3812","3990","3833","3952","3930","3809","3711","3666","3957"
"Sudeste","Mulheres","2576","2669","2815","2745","2933","2799","2984","2973","2858","2852","2811","3014"
"Sul","Total","3138","3220","3301","3200","3232","3276","3332","3360","3247","3144","3207","3351"
"Sul","Homens","3592","3685","3779","3628","3634","3654","3738","3789","3631","3531","3604","3738"
"Sul","Mulheres","2511","2580","2650","2620","2693","2766","2787","2792","2721","2607","2684","2849"
"Centro-Oeste","Total","3295","3326","3399","3283","3263","3372","3375","3287","3277","3186","3290","3555"
"Centro-Oeste","Homens","3704","3800","3788","3691","3612","3712","3771","3646","3563","3495","3709","4038"
"Centro-Oeste","Mulheres","2699","2652","2836","2702","2777","2905","2828","2801","2863","2750","2712","2908"